"SKU","DESCRIPTION","SKU_FAMILY","BOX_CODE"
"3R193","KIT,SW,VU64SP1,DVD,ANW,RUS","SW",""
"YX28Y","MOD,MDM,MBLBB,DW5630,MCHN,GER","Miscellaneous",""
"G923G","ASSY,PWA,DTRBD,IO,3480","DB","GKCMD"
"82938","ASSY,CHAS,PFC,CEL,3000,L6,CR,M","Mechanical",""
"KY93K","SHP MTL,CORR,PAD,INSP17","Miscellaneous",""
"DM30D","KIT,DOC,USER,S3048-ON,APJ/CCC","Miscellaneous",""
"GP81G","ASSY,SHLD,MB,T,ANT,HDD","Mechanical",""
"TM59T","FGA,XPS LPT 9Q23,BTS","Base Unit",""
"8H418","KYBD,66,ARA,S-PTG,QH,WIN","Keyboard/Mouse","D237D"
"3G753","ASSY,HTSNK,CPU,R810","Heatsink",""
"MW12M","ASSY,BASE,16/4,SP,7010,IW,7,TC","Base Unit",""
"VT52V","ASSY,LCD,FRM,WLAN,TCH,LB,SEC","HUD",""
"75697","MOD,CVR,PNT,GRN,BLK,L,1557/58","Miscellaneous",""
"KF60K","ASSY,SWT,GBE,48PRT,2848,TAA","PWR CNT",""
"4C564","PRC,Q9100,2.26,12MB,CPEN,E0","PRC","GKCMD"
"D292D","CUS,CVR,IMR 17,EXCH,N7110,COV","Miscellaneous",""
"9M659","LBL,RTL,INSP,15XX,1901,BCC","Miscellaneous",""
"3G953","LBL,WRLES,CMII,ID,370,BLTH","Miscellaneous",""
"09600","BTRY,CCC,6C,LITH,PSNC","Battery","1W217"
"2N272","ASSY,SWT,48PRT,7048,TAA","PWR CNT",""
"8H898","ASSY,CVR,LCD,BK,SLVR,WM,V131","HUD","4U500"
"XK31X","CRD,NTWK,MLNX,LP,25G,2P,S28","Network Card",""
"MP35M","MOD,SW,OFCBSC-2K7,ANW,ENG,APAC","SW",""
"38113","OVKT,3R2XDC,SP2,FR","Miscellaneous",""
"D150D","ASSY,LCD,HUD,SLVR,S,300,NT5501","HUD","4U500"
"01920","SVC,BTM,BASE,PLSTC,630M/M140","Mechanical",""
"27872","CUS,ADPT,AC,2P,DAO","Adapter",""
"51325","BASE,MMT,SMRTPC,400D,2.0G,WXPH","Base Unit",""
"TM91T","KIT,MSE,USB,WW,PE,MS116,LN,B,T","Keyboard/Mouse",""
"47804","FGA PROXY,PH4243B,BTO","Base Unit",""
"JC43J","MOD,SW,SQL8R2W,1PROC,GER","SW",""
"78307","ASSY,PWR SPLY,160W,DSATA","PWR SPLY",""
"04750","ASSY,CBL,I/O,VHDCI-TO-SCSI,2M","Cable","CFX79"
"0C130","ASSY,LCD,HUD,CF,2I,UHD,LD75#V2","HUD",""
"64466","FOOT,ADH,RBR,MEM DOOR,LXP/LXPi","Miscellaneous",""
"XT97X","KIT,SW,USB,W10H64,PRC,COS,1115","SW","Envelope"
"24782","SUBASSY,HD,60G,5.4K,PRTUS,TGTR","HDD",""
"96499","DIS,FPL,19,D,1901FP,T0,EMF","FPD",""
"9G279","ASSY,CBL,LED,H730,MB,T130/R330","Cable","Envelope"
"4P624","SCR,M2X4,PNH,MSCR,ZPS,CUSTOM","Mechanical",""
"D349D","SI,CRD,MLNX,MCX512A-ACAT,LP","Card",""
"M540M","ASSY,PWA,PLN,P5405U,U,N3 WHL","Motherboards","4U500"
"68836","ASSY,FAN,BLWR,2X1,12VDC,ROHS","FAN","02087_A07"
"04300","RDR,CRD-SMRT,W/CBL,PORT","Miscellaneous",""
"FC13F","BASE,NBK,BTS,E5520,DAO,FCG7","Base Unit",""
"VK52V","KYBD,87,GER,C12S,WIN8","Keyboard/Mouse","1W217"
"9D829","MDM,56K,INT,3COM,DINGO2,V.90","Modem",""
"47264","KYBD,97,UK,USB-PS2,TPAD,LTON","Keyboard/Mouse",""
"2H702","ASSY,PWA,DTP,I7-4712,V3,9530","Motherboards","4U500"
"17941","SVC,PFR,PTR,5100CN,EMEA","Miscellaneous",""
"4R774","ASSY,PWA,PLN,I59300,6GN8EG0,C","Motherboards","4U500"
"RN66R","SVC,MISC,SNR,DPLEX-BBLE,S5840","Miscellaneous",""
"07800","PRC,80532,2.66G,512K,533FSBSKN","PRC","GKCMD"
"V876V","MOD-SRV,SW,INSP,7520","SW",""
"5M315","MOD,CVR,BK,PIC,STKR1,BLK,1010","Miscellaneous",""
"76287","OVKT,3R2XDC,SP2,GER","Miscellaneous",""
"HR76H","MOD,LKEY,SMPA,1-DLR,SW","Miscellaneous",""
"JY12J","SVC,PLN,I3-4005U,TRPM,3340,W8H","Motherboards",""
"VX29V","MOD,INFO,SN,1VMM,1YR,CRTR,DT","Miscellaneous",""
